dataset,model,layer,method,value,speaker
timit,hubert-large-en,18,clf_mi,3.0674503482042397,False
timit,hubert-large-en,19,km_2_mi,0.010022729765808553,True
timit,hubert-large-en,19,km_4_mi,0.025857734145438717,True
timit,hubert-large-en,19,km_8_mi,0.057862052215475884,True
timit,hubert-large-en,19,km_16_mi,0.11972304009063119,True
timit,hubert-large-en,19,km_32_mi,0.26203183378678907,True
timit,hubert-large-en,19,km_64_mi,0.47724430511481747,True
timit,hubert-large-en,19,km_128_mi,0.9180818400803838,True
timit,hubert-large-en,19,km_256_mi,1.3967671354425881,True
timit,hubert-large-en,19,km_512_mi,1.9500651192454137,True
timit,hubert-large-en,19,km_1024_mi,2.506580308664533,True
timit,hubert-large-en,19,entropy,6.438161419540647,True
timit,hubert-large-en,19,clf_mi,4.05519419809361,True
timit,hubert-large-en,19,km_2_mi,0.3627160920374383,False
timit,hubert-large-en,19,km_4_mi,0.6013056787967932,False
timit,hubert-large-en,19,km_8_mi,0.8184406910517287,False
timit,hubert-large-en,19,km_16_mi,1.1472567751846445,False
timit,hubert-large-en,19,km_32_mi,1.400545286162025,False
timit,hubert-large-en,19,km_64_mi,1.7571273191980437,False
timit,hubert-large-en,19,km_128_mi,2.0942108198768685,False
timit,hubert-large-en,19,km_256_mi,2.4030238020748667,False
timit,hubert-large-en,19,km_512_mi,2.6165158513824265,False
timit,hubert-large-en,19,km_1024_mi,2.7811278131539647,False
timit,hubert-large-en,19,entropy,3.3947674978523117,False
timit,hubert-large-en,19,clf_mi,3.059115403327982,False
timit,hubert-large-en,20,km_2_mi,0.009321381295284741,True
timit,hubert-large-en,20,km_4_mi,0.025506173456457944,True
timit,hubert-large-en,20,km_8_mi,0.0433070589197675,True
timit,hubert-large-en,20,km_16_mi,0.11292987425055097,True
timit,hubert-large-en,20,km_32_mi,0.2432424205122162,True
timit,hubert-large-en,20,km_64_mi,0.44457155232098705,True
timit,hubert-large-en,20,km_128_mi,0.814677388227751,True
timit,hubert-large-en,20,km_256_mi,1.270765710883908,True
timit,hubert-large-en,20,km_512_mi,1.835448023350448,True
timit,hubert-large-en,20,km_1024_mi,2.4073338697519233,True
timit,hubert-large-en,20,entropy,6.438161419540647,True
timit,hubert-large-en,20,clf_mi,3.6393685855956495,True
timit,hubert-large-en,20,km_2_mi,0.022312066626951902,False
timit,hubert-large-en,20,km_4_mi,0.658509062528467,False
timit,hubert-large-en,20,km_8_mi,1.004098031725953,False
timit,hubert-large-en,20,km_16_mi,1.2008536566028791,False
timit,hubert-large-en,20,km_32_mi,1.3775038641739532,False
timit,hubert-large-en,20,km_64_mi,1.7474294293761437,False
timit,hubert-large-en,20,km_128_mi,2.088343282599528,False
timit,hubert-large-en,20,km_256_mi,2.410300809073359,False
timit,hubert-large-en,20,km_512_mi,2.621381604743795,False
timit,hubert-large-en,20,km_1024_mi,2.787115277481812,False
timit,hubert-large-en,20,entropy,3.3947674978523117,False
timit,hubert-large-en,20,clf_mi,3.040481053770743,False
timit,hubert-large-en,21,km_2_mi,0.008696347890089903,True
timit,hubert-large-en,21,km_4_mi,0.024022409395366855,True
timit,hubert-large-en,21,km_8_mi,0.06105282310383292,True
timit,hubert-large-en,21,km_16_mi,0.12916548318358612,True
timit,hubert-large-en,21,km_32_mi,0.24967022498370584,True
timit,hubert-large-en,21,km_64_mi,0.4953687053802783,True
timit,hubert-large-en,21,km_128_mi,0.8937697854257697,True
timit,hubert-large-en,21,km_256_mi,1.365451754432115,True
timit,hubert-large-en,21,km_512_mi,1.8880052056075378,True
timit,hubert-large-en,21,km_1024_mi,2.4528698689855695,True
timit,hubert-large-en,21,entropy,6.438161419540647,True
timit,hubert-large-en,21,clf_mi,3.274317161635554,True
timit,hubert-large-en,21,km_2_mi,0.4640627491226487,False
timit,hubert-large-en,21,km_4_mi,0.5902758483998434,False
timit,hubert-large-en,21,km_8_mi,1.0164597811273755,False
timit,hubert-large-en,21,km_16_mi,1.2569676044502407,False
timit,hubert-large-en,21,km_32_mi,1.6801543215689518,False
timit,hubert-large-en,21,km_64_mi,1.8796199354217413,False
timit,hubert-large-en,21,km_128_mi,2.266328582705321,False
timit,hubert-large-en,21,km_256_mi,2.505971924046963,False
timit,hubert-large-en,21,km_512_mi,2.730389467454635,False
timit,hubert-large-en,21,km_1024_mi,2.872220097878061,False
timit,hubert-large-en,21,entropy,3.3947674978523117,False
timit,hubert-large-en,21,clf_mi,3.032751188497266,False
timit,hubert-large-en,22,km_2_mi,0.007786267979264766,True
timit,hubert-large-en,22,km_4_mi,0.024914422189852372,True
timit,hubert-large-en,22,km_8_mi,0.06082923764538179,True
timit,hubert-large-en,22,km_16_mi,0.1368488202570839,True
timit,hubert-large-en,22,km_32_mi,0.28111657463733275,True
timit,hubert-large-en,22,km_64_mi,0.5529131236000833,True
timit,hubert-large-en,22,km_128_mi,0.9666528684757018,True
timit,hubert-large-en,22,km_256_mi,1.468327994226513,True
timit,hubert-large-en,22,km_512_mi,2.0008105519742263,True
timit,hubert-large-en,22,km_1024_mi,2.5501599319348047,True
timit,hubert-large-en,22,entropy,6.438161419540647,True
timit,hubert-large-en,22,clf_mi,2.9243044314969113,True
timit,hubert-large-en,22,km_2_mi,0.528829824540441,False
timit,hubert-large-en,22,km_4_mi,0.6729373697420882,False
timit,hubert-large-en,22,km_8_mi,1.243316696810948,False
timit,hubert-large-en,22,km_16_mi,1.6043240853280967,False
timit,hubert-large-en,22,km_32_mi,1.997088938547564,False
timit,hubert-large-en,22,km_64_mi,2.301799751600417,False
timit,hubert-large-en,22,km_128_mi,2.6608732150927876,False
timit,hubert-large-en,22,km_256_mi,2.7949613697016327,False
timit,hubert-large-en,22,km_512_mi,2.9364743000789977,False
timit,hubert-large-en,22,km_1024_mi,3.0221426450812157,False
timit,hubert-large-en,22,entropy,3.3947674978523117,False
timit,hubert-large-en,22,clf_mi,2.9402129462165405,False
timit,hubert-large-en,23,km_2_mi,0.008620644160296792,True
timit,hubert-large-en,23,km_4_mi,0.025358754165223117,True
timit,hubert-large-en,23,km_8_mi,0.06141271461944769,True
timit,hubert-large-en,23,km_16_mi,0.1381348890015635,True
timit,hubert-large-en,23,km_32_mi,0.2980226397264769,True
timit,hubert-large-en,23,km_64_mi,0.5621607771224919,True
timit,hubert-large-en,23,km_128_mi,0.9797525447064942,True
timit,hubert-large-en,23,km_256_mi,1.4965597199509009,True
timit,hubert-large-en,23,km_512_mi,2.077567756516025,True
timit,hubert-large-en,23,km_1024_mi,2.6501134106134354,True
timit,hubert-large-en,23,entropy,6.438161419540647,True
timit,hubert-large-en,23,clf_mi,1.5998088344681038,True
timit,hubert-large-en,23,km_2_mi,0.5070532577883325,False
timit,hubert-large-en,23,km_4_mi,0.8718994088315059,False
timit,hubert-large-en,23,km_8_mi,1.3767857033560345,False
timit,hubert-large-en,23,km_16_mi,1.7707828323520842,False
timit,hubert-large-en,23,km_32_mi,2.134495502602684,False
timit,hubert-large-en,23,km_64_mi,2.4745699899421822,False
timit,hubert-large-en,23,km_128_mi,2.6741433839125204,False
timit,hubert-large-en,23,km_256_mi,2.8798793134845417,False
timit,hubert-large-en,23,km_512_mi,3.002686777072729,False
timit,hubert-large-en,23,km_1024_mi,3.0836619331708004,False
timit,hubert-large-en,23,entropy,3.3947674978523117,False
timit,hubert-large-en,23,clf_mi,2.7920604346356903,False
timit,hubert-large-en,24,km_2_mi,0.008752923128420733,True
timit,hubert-large-en,24,km_4_mi,0.023928809880987643,True
timit,hubert-large-en,24,km_8_mi,0.06161226632474919,True
timit,hubert-large-en,24,km_16_mi,0.13853563240961078,True
timit,hubert-large-en,24,km_32_mi,0.2887401627180384,True
timit,hubert-large-en,24,km_64_mi,0.5749066152383111,True
timit,hubert-large-en,24,km_128_mi,0.9741633896794679,True
timit,hubert-large-en,24,km_256_mi,1.490854465269988,True
timit,hubert-large-en,24,km_512_mi,2.0693159717296887,True
timit,hubert-large-en,24,km_1024_mi,2.6687811590504,True
timit,hubert-large-en,24,entropy,6.438161419540647,True
timit,hubert-large-en,24,clf_mi,3.4860223127940193,True
timit,hubert-large-en,24,km_2_mi,0.3291922314151495,False
timit,hubert-large-en,24,km_4_mi,0.8236811824344289,False
timit,hubert-large-en,24,km_8_mi,1.2014113422230566,False
timit,hubert-large-en,24,km_16_mi,1.5921760480868823,False
timit,hubert-large-en,24,km_32_mi,2.0999626606823294,False
timit,hubert-large-en,24,km_64_mi,2.3875436420843115,False
timit,hubert-large-en,24,km_128_mi,2.670671547214011,False
timit,hubert-large-en,24,km_256_mi,2.8358930264291566,False
timit,hubert-large-en,24,km_512_mi,2.9644210846434813,False
timit,hubert-large-en,24,km_1024_mi,3.0568430904426047,False
timit,hubert-large-en,24,entropy,3.3947674978523117,False
timit,hubert-large-en,24,clf_mi,3.2032985526893434,False
